dir_name,axis,guidance_scale,ddim_steps,total_view,psnr_mean,psnr_std,psnr_min,psnr_max,ssim_mean,ssim_std,ssim_min,ssim_max,num_slices
1_axial_g10_med_300,axial,10,300,1,13.01435297031693,3.336583896397585,5.02760124206543,24.710750579833984,0.10032741067373208,0.16210895758964047,0.0002796649932861328,0.76171875,197
1_axial_g30_med_300,axial,30,300,1,15.55858766972111,2.3401496211208572,9.644709587097168,22.52983856201172,0.5731149857419396,0.2715595274839355,0.0012254714965820312,0.82666015625,197
1_axial_g50_med_300,axial,50,300,1,15.643336644632562,2.1498389637290836,10.616008758544922,24.013673782348633,0.7015849854135271,0.12336294397206501,0.00379180908203125,0.84765625,197
1_axial_g75_med_50,axial,75,50,1,15.483775622953619,2.053207502357694,11.06635570526123,22.98486328125,0.686024389896296,0.16459184786890738,0.010986328125,0.87060546875,197
1_axial_g75_med_100,axial,75,100,1,15.506952668204525,2.0365938925204805,10.621273040771484,22.212526321411133,0.7087162230825667,0.10333212038033075,0.040008544921875,0.94287109375,197
1_axial_g75_med_200,axial,75,200,1,15.56527181325225,2.1188724008161652,11.193269729614258,24.56038475036621,0.7091625039347538,0.11537603927410803,0.004261016845703125,0.9404296875,197
1_axial_g75_med_300,axial,75,300,1,15.533521337557564,2.0687092810434518,11.144293785095215,22.774444580078125,0.7128486439661326,0.08392000541039038,0.045806884765625,0.85400390625,197
2_axial_g75_med_300,axial,75,300,2,13.081139065892563,1.96179375070009,3.6321678161621094,17.99883460998535,0.6359064373268088,0.20555270491005415,0.0007104873657226562,0.89111328125,197
3_axial_g75_med_300,axial,75,300,3,13.155982310396766,1.9389384104297214,4.96230411529541,17.793394088745117,0.6307949414713129,0.19787632527950016,0.0014553070068359375,0.8515625,197
4_axial_g75_med_300,axial,75,300,4,12.948625663815417,1.8608337501041603,3.077441692352295,17.80965232849121,0.6405556189832349,0.17963319617827983,0.004436492919921875,0.8359375,197
1_axial_g75_med_500,axial,75,500,1,15.575968766575537,2.1767820387614916,11.151815414428711,24.916627883911133,0.7174608259636739,0.09334790678440652,0.0445556640625,0.95361328125,197
1_axial_g100_med_300,axial,100,300,1,15.467958368020614,2.0065515306491633,11.12332534790039,22.039880752563477,0.7167723989728744,0.07047834611648723,0.06793212890625,0.859375,197
1_axial_g150_med_300,axial,150,300,1,15.436982580852993,1.9663002687992843,11.1309232711792,21.662883758544922,0.7185244487626904,0.06852607756850532,0.13623046875,0.9091796875,197
1_coronal_g75_med_300,coronal,75,300,1,16.087522371166248,6.8426555403022045,8.328205108642578,62.131404876708984,0.7140557923292751,0.1035184816415516,0.0161590576171875,1.0,197
1_sagittal_g75_med_300,sagittal,75,300,1,15.668144884448367,5.938874903243499,8.57894229888916,63.68749237060547,0.6964759439381246,0.11710039347264062,0.006542205810546875,1.0,197
